State,Age Range,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2017
estimated 
population"
ALABAMA  ,Under 18,"4,707",365,"1,264",18,34,116,197,323,860,71,10,782,13,29,1,134,86,103,0,26,196,0,29,42,212,34,338,0,"1,053",0,0,,
ALABAMA  ,Total all ages,"153,285","6,005","18,366",317,344,"1,140","4,204","3,223","14,030",994,119,"16,455","1,189","3,258",161,"2,484","1,413","1,963",2,550,"11,267",0,822,"7,194","2,064","6,165","2,018",56,"71,853",0,0,223,"3,737,635"
ALASKA,Under 18,"1,570",164,459,1,26,20,117,117,258,78,6,320,2,5,7,5,98,21,1,9,180,0,0,23,80,10,14,0,172,0,0,,
ALASKA,Total all ages,"29,152","2,374","3,695",46,126,289,"1,913",623,"2,356",694,22,"4,478",113,219,77,105,"1,004",369,5,256,"1,004",0,159,"3,102",653,43,757,2,"10,737",0,0,32,"736,205"
ARIZONA,Under 18,"22,613","1,228","4,528",30,52,450,696,761,"3,364",347,56,"3,677",22,74,6,156,"1,754",258,4,218,"3,096",1,182,198,"1,461",78,"1,424",57,"3,062",3,"1,126",,
ARIZONA,Total all ages,"277,698","12,832","34,919",261,339,"2,085","10,147","3,974","29,142","1,590",213,"26,801","1,201","2,076",457,"1,410","10,287","3,090",303,"1,289","33,230",12,"2,680","24,195","8,935","15,574","15,505",616,"81,016",144,"1,126",91,"6,400,872"
ARKANSAS,Under 18,"7,878",459,"1,562",15,46,101,297,386,"1,083",88,5,"1,443",15,29,5,144,287,126,0,18,876,0,6,32,205,85,609,0,"1,667",0,310,,
ARKANSAS,Total all ages,"123,971","4,715","12,355",138,238,563,"3,776","2,026","9,686",603,40,"11,347",830,893,54,"1,766","1,510","1,106",172,92,"17,515",13,293,"5,988","1,475","6,247","2,469",315,"54,506",0,310,264,"2,760,388"
CALIFORNIA ,Under 18,"51,603","7,152","10,712",98,295,"2,952","3,807","4,067","4,616","1,774",255,"8,483",45,175,23,"1,167","2,656","3,081",18,"1,139","3,781",11,2,455,"1,107",695,"1,193",103,"8,607",0,998,,
CALIFORNIA ,Total all ages,"1,093,363","109,117","105,757","1,499","2,561","16,942","88,115","38,094","46,602","19,501","1,560","80,248","4,440","6,903",990,"17,398","16,883","28,547","7,056","9,244","212,025",287,227,"122,961","7,079","63,278","3,530","6,773","289,622",0,998,676,"39,386,220"
COLORADO,Under 18,"21,183",773,"3,921",18,58,230,467,339,"3,135",377,70,"1,924",10,87,17,21,878,325,0,133,"2,615",2,34,239,"1,282",11,"1,729",0,"6,130",0,"1,052",,
COLORADO,Total all ages,"234,409","7,721","27,157",176,442,"1,203","5,900","2,389","21,737","2,766",265,"17,009",734,"2,400",126,496,"5,508","2,309",521,471,"16,626",19,"3,235","23,664","8,143",485,"7,284",596,"108,846",7,"1,052",198,"5,083,702"
CONNECTICUT,Under 18,"8,133",436,"1,858",6,22,197,211,287,"1,222",324,25,"1,961",11,30,4,125,451,181,2,46,585,0,25,28,27,0,"1,406",1,953,0,3,,
CONNECTICUT,Total all ages,"100,211","3,844","14,074",85,190,"1,082","2,487","1,998","11,076",926,74,"18,621",649,912,144,693,"2,188","1,242",183,368,"9,174",7,"1,500","8,228",159,5,"10,579",24,"27,614",0,3,105,"3,538,025"
DELAWARE,Under 18,"3,360",284,661,1,18,84,181,146,462,35,18,911,0,60,4,73,154,82,0,37,335,1,0,0,71,3,287,0,364,0,33,,
DELAWARE,Total all ages,"31,549","1,989","6,156",42,69,476,"1,402",950,"5,038",136,32,"6,225",283,"1,837",221,401,749,338,81,122,"4,015",20,176,347,635,377,"1,339",226,"5,979",0,33,62,"961,939"
DISTRICT OF COLUMBIA,Under 18,594,80,39,0,0,60,20,0,39,0,0,79,1,2,0,9,12,15,0,0,17,0,0,0,2,0,32,0,306,0,0,,
DISTRICT OF COLUMBIA,Total all ages,"17,986",133,101,0,0,84,49,1,95,5,0,333,2,8,0,21,54,47,0,13,237,0,4,22,"1,174",72,284,10,"15,471",0,0,2,0
FLORIDA,Under 18,"55,359","3,829","15,812",43,263,"1,545","1,978","4,066","9,081","2,617",48,"8,456",46,423,20,184,"1,178",864,11,250,"5,497",0,0,96,529,0,1,0,"18,158",0,5,,
FLORIDA,Total all ages,"713,085","36,251","91,063",635,"1,873","6,398","27,345","16,483","66,033","8,306",241,"78,943","2,040","11,613","1,057","1,841","6,371","6,306","2,468","3,001","124,487",71,4,"32,727","11,739",37,33,0,"303,028",0,5,605,"20,971,216"
GEORGIA,Under 18,"19,766","1,206","5,177",46,42,396,722,996,"3,697",457,27,"2,712",48,110,9,373,567,412,4,313,"2,127",6,129,99,260,30,"1,637",129,"4,080",7,331,,
GEORGIA,Total all ages,"230,640","10,843","31,080",380,284,"1,697","8,482","4,035","25,397","1,499",149,"20,268","2,241","3,028",292,"2,881","3,633","3,317",379,"2,434","40,608",58,"2,805","17,436","3,458","1,457","13,334","1,285","69,459",13,331,389,"8,205,589"
HAWAII,Under 18,"3,084",135,597,2,15,56,62,60,494,36,7,440,3,2,1,48,75,13,0,32,436,0,0,29,76,0,87,0,893,0,217,,
HAWAII,Total all ages,"35,618","1,227","3,748",36,114,270,807,436,"2,865",424,23,"3,837",76,147,11,414,426,247,120,155,"2,724",156,13,"5,968",467,0,919,0,"14,744",2,217,4,"1,427,538"
IDAHO,Under 18,"6,260",184,"1,246",0,49,19,116,172,974,80,20,744,3,31,3,18,236,95,0,67,969,0,13,48,198,31,254,2,"1,979",2,137,,
IDAHO,Total all ages,"51,686","1,441","5,192",10,120,70,"1,241",790,"4,138",220,44,"4,513",127,299,43,170,756,276,13,188,"8,432",0,636,"5,458","1,010",566,"1,582",15,"20,826",6,137,82,"1,534,173"
ILLINOIS6,Under 18,"8,587",842,"2,593",28,18,603,193,195,"1,084","1,301",13,"1,411",1,8,0,25,288,693,0,16,845,60,5,1,22,0,669,0,"1,057",0,51,,
ILLINOIS6,Total all ages,"64,552","3,823","11,653",272,259,"1,464","1,828",882,"7,599","3,113",59,"13,083",108,224,1,71,"2,076","4,290",141,235,"10,915",457,277,"2,357",131,0,"2,988",18,"11,653",0,51,2,"2,852,941"
INDIANA,Under 18,"11,369",842,"2,724",17,48,218,559,301,"2,104",294,25,"1,731",15,63,7,35,349,207,4,123,"1,391",0,209,60,653,39,597,29,"2,077",4,210,,
INDIANA,Total all ages,"147,199","8,345","17,546",182,208,"1,386","6,569","2,016","13,829","1,629",72,"11,260","1,234","1,885",266,343,"1,200","2,283",305,673,"26,364",14,"1,059","13,263","3,792","3,820","3,453",347,"49,499",38,210,201,"4,267,407"
IOWA,Under 18,"10,088",445,"2,607",3,41,94,307,407,"1,918",248,34,"1,518",27,49,12,34,652,131,1,47,902,0,3,83,661,75,991,0,"1,598",0,252,,
IOWA,Total all ages,"94,485","4,709","12,280",53,192,341,"4,123","1,594","10,029",565,92,"7,296",664,743,79,212,"1,995",900,46,125,"9,645",7,"1,059","10,082","3,733","5,793","3,574",17,"31,274",0,252,190,"2,686,879"
KANSAS,Under 18,"3,948",185,683,3,17,27,138,102,490,71,20,742,4,22,8,48,243,54,0,43,701,0,6,61,353,1,156,0,638,0,0,,
KANSAS,Total all ages,"61,144","2,198","4,958",62,112,204,"1,820",608,"3,887",412,51,"8,456",263,580,111,584,"1,697",742,127,167,"9,594",0,228,"5,443","2,353",138,"1,613",0,"21,892",0,0,225,"1,900,556"
KENTUCKY,Under 18,"5,273",393,"1,414",26,24,212,131,326,911,171,6,"1,029",13,16,8,347,164,94,0,39,533,0,5,41,8,44,177,0,946,0,2,,
KENTUCKY,Total all ages,"219,872","3,398","17,117",185,212,987,"2,014","2,891","13,271",894,61,"12,015","1,102","1,370",390,"2,992","1,167",967,166,292,"26,397",3,"5,216","15,143",72,"13,722","3,949",70,"114,322",0,2,330,"4,329,947"
LOUISIANA,Under 18,"17,571","1,149","4,603",36,95,265,753,"1,173","2,914",475,41,"3,124",12,33,9,258,589,398,8,168,"1,361",0,114,26,191,30,"2,307",32,"2,909",4,246,,
LOUISIANA,Total all ages,"166,867","9,494","29,489",359,391,"1,195","7,549","5,260","22,413","1,692",124,"18,935",762,"1,519",146,"2,100","2,785","3,234",412,841,"25,770",41,"1,856","6,117","2,869","2,965","7,332",243,"49,696",15,246,170,"3,747,239"
MAINE,Under 18,"3,046",57,779,0,14,12,31,131,596,28,24,505,3,11,2,10,225,6,0,35,350,0,6,39,386,4,83,0,528,0,17,,
MAINE,Total all ages,"40,675",780,"5,578",14,70,128,568,607,"4,683",225,63,"4,889",199,518,41,93,"1,067",130,119,182,"3,409",3,122,"5,835","2,181",20,"1,257",0,"14,227",8,17,135,"1,335,907"
MARYLAND,Under 18,"17,653","2,056","4,510",14,60,"1,131",851,937,"2,839",639,95,"3,922",15,51,4,6,845,598,8,147,"1,948",41,9,45,233,2,821,5,"2,299",23,65,,
MARYLAND,Total all ages,"165,877","9,692","21,726",286,352,"3,299","5,755","4,323","15,337","1,756",310,"18,261",423,893,77,73,"2,332","3,215",748,578,"28,992",117,860,"14,385","3,755",29,"4,202",82,"55,260",112,65,139,"5,488,907"
MASSACHUSETTS,Under 18,"6,732",793,"1,179",6,23,176,588,280,780,90,29,"1,562",16,17,3,134,345,169,1,52,215,1,45,29,231,24,447,0,"1,467",0,2,,
MASSACHUSETTS,Total all ages,"118,676","9,257","13,671",62,296,"1,211","7,688","2,141","10,837",608,85,"19,372",455,"1,271",122,"1,202","2,534","1,328",530,425,"9,791",6,"1,406","8,665","1,565","5,187","4,359",8,"37,518",2,2,321,"6,522,173"
MICHIGAN,Under 18,"16,474","1,094","4,206",16,133,282,663,634,"3,167",361,44,"2,620",30,220,25,243,535,289,2,133,"2,126",3,1,200,"1,137",5,534,0,"2,752",0,319,,
MICHIGAN,Total all ages,"244,417","11,798","24,692",261,750,"1,306","9,481","3,190","19,983","1,280",239,"27,788",650,"3,931","1,174","1,806","2,815","4,590",233,626,"33,090",42,"2,766","26,558","8,729",349,"5,989",139,"86,333",0,319,614,"9,789,634"
MINNESOTA,Under 18,"20,871",969,"4,981",12,122,384,451,475,"4,071",399,36,"2,403",32,196,1,329,931,433,2,178,"1,893",0,14,176,"1,816",0,"2,053",0,"3,595",0,869,,
MINNESOTA,Total all ages,"143,702","5,769","26,025",120,632,"1,176","3,841","2,298","22,105","1,521",101,"14,363","1,465","2,664",23,"1,995","3,056","2,208",359,"1,055","19,281",16,569,"19,171","7,535",2,"8,665",42,"28,570",0,869,374,"5,379,142"
MISSISSIPPI,Under 18,"3,485",138,836,5,7,75,51,180,600,50,6,449,2,9,4,76,70,84,0,16,285,1,254,55,33,22,363,12,684,2,90,,
MISSISSIPPI,Total all ages,"78,239","1,492","8,677",109,58,403,922,"1,249","7,034",350,44,"6,393",333,854,383,815,678,"1,110",25,198,"10,268",67,"2,298","7,642",971,"3,888","4,070",105,"27,846",36,90,64,"1,385,928"
MISSOURI,Under 18,"17,518",906,"3,790",25,125,265,491,550,"2,955",251,34,"2,885",16,73,16,256,847,277,6,265,"2,266",1,88,147,707,12,"1,176",4,"3,136",0,644,,
MISSOURI,Total all ages,"228,042","9,371","31,387",342,551,"1,553","6,925","3,815","24,973","2,473",126,"21,141","1,239","1,950",290,"2,876","3,868","3,537",368,"1,242","39,979",96,"2,548","18,386","4,061",306,"7,059","1,096","76,597",1,644,361,"5,626,134"
MONTANA,Under 18,"4,313",113,881,0,11,15,87,48,778,46,9,612,3,5,0,6,246,17,0,23,385,0,40,44,575,0,398,0,659,0,306,,
MONTANA,Total all ages,"30,824","1,262","4,965",19,47,91,"1,105",275,"4,401",252,37,"4,390",106,254,30,98,931,85,9,102,"2,872",0,253,"4,344","2,023",0,"2,475",10,"6,309",0,306,100,"1,037,591"
NEBRASKA,Under 18,599,27,83,0,2,0,25,10,58,15,0,87,0,1,0,2,34,4,0,3,87,0,1,19,90,12,38,0,95,0,16,,
NEBRASKA,Total all ages,"5,708",161,523,1,12,5,143,53,424,44,2,617,18,67,3,35,95,65,1,28,843,0,76,785,416,178,282,0,"1,499",0,16,54,"233,437"
NEVADA,Under 18,"7,672",924,"1,159",4,54,319,547,337,700,108,14,"1,720",40,31,2,166,217,171,44,47,741,0,6,50,372,4,194,64,"1,304",4,412,,
NEVADA,Total all ages,"112,004","6,506","8,946",157,321,"1,388","4,640","2,572","5,658",671,45,"15,438",488,"1,404",201,"1,681","1,365","1,885","2,532",695,"8,923",9,702,"9,470","1,950",241,"1,353","1,648","45,968",187,412,51,"2,680,733"
NEW HAMPSHIRE,Under 18,"3,529",67,373,1,0,17,49,39,300,23,11,557,5,19,6,33,194,5,0,24,507,0,10,36,371,313,133,0,865,0,11,,
NEW HAMPSHIRE,Total all ages,"47,516",896,"3,642",8,52,168,668,319,"3,143",152,28,"5,306",292,787,120,503,"1,247",139,79,99,"7,656",12,202,"4,805","2,489","4,210","1,001",82,"13,938",0,11,176,"1,292,643"
NEW JERSEY,Under 18,"15,950","1,123","2,709",6,62,510,545,478,"2,093",89,49,"1,312",39,48,12,456,658,566,9,157,"3,535",30,27,76,682,0,"1,281",25,"2,613",0,592,,
NEW JERSEY,Total all ages,"281,631","8,577","24,807",149,333,"2,472","5,623","3,910","20,274",494,129,"20,175","1,020","3,478",269,"2,511","3,297","3,838",900,916,"61,989",158,"8,915","21,574","2,876",0,"11,629",299,"103,811",0,592,490,"8,521,517"
NEW MEXICO,Under 18,"1,303",172,220,0,3,21,148,46,154,19,1,249,2,3,1,51,35,14,1,2,99,0,11,25,31,28,41,0,318,0,0,,
NEW MEXICO,Total all ages,"40,552","2,708","4,340",25,43,344,"2,296",613,"3,546",170,11,"6,223",138,230,74,"1,165",684,179,35,31,"2,377",0,680,"3,283",473,"1,578",973,64,"15,300",17,0,23,"823,584"
NEW YORK,Under 18,"18,426","1,508","4,873",22,180,623,683,877,"3,542",358,96,"2,413",82,179,3,417,"1,880",330,6,322,"3,344",14,24,82,198,0,504,9,"2,238",0,0,,
NEW YORK,Total all ages,"259,257","12,440","43,759",264,970,"3,090","8,116","5,200","36,562","1,713",284,"27,397","2,616","4,086",48,"3,183","13,559","3,468",672,"1,662","69,904",102,550,"27,136","1,450",0,"4,867",618,"41,740",0,0,510,"10,121,830"
NORTH CAROLINA,Under 18,"15,757",947,"4,335",31,18,465,433,"1,271","2,822",214,28,"2,896",37,174,20,392,629,546,6,90,"1,519",2,18,190,278,0,"1,173",0,"2,487",0,18,,
NORTH CAROLINA,Total all ages,"240,365","11,630","34,918",464,229,"2,571","8,366","7,836","25,826","1,066",190,"31,024","1,326","6,720","1,185","3,356","3,958","5,147",374,806,"25,902",61,"4,294","30,277","1,926",0,"5,425",5,"72,013",0,18,213,"6,457,952"
NORTH DAKOTA,Under 18,"4,581",69,653,0,12,8,49,59,528,61,5,439,5,16,7,26,145,29,2,42,476,0,171,37,554,4,706,0,"1,093",0,107,,
NORTH DAKOTA,Total all ages,"39,944",855,"3,787",6,61,69,719,352,"3,128",291,16,"2,943",156,421,53,311,479,313,38,120,"5,646",1,654,"6,318","3,086",384,"2,492",7,"11,772",1,107,106,"749,938"
OHIO,Under 18,"22,865",870,"4,203",16,78,348,428,728,"3,180",222,73,"4,341",33,139,2,454,960,327,4,137,"1,973",2,212,64,617,27,"1,745",0,"6,212",1,542,,
OHIO,Total all ages,"224,423","8,084","33,068",224,406,"1,987","5,467","4,115","27,904",764,285,"31,736",918,"2,179",21,"2,800","3,454","3,681","1,122",516,"37,022",4,"1,714","15,032","5,196","4,327","12,296",208,"60,497",6,542,453,"9,362,266"
OKLAHOMA,Under 18,"8,750",479,"2,064",16,26,138,299,398,"1,532",106,28,920,11,35,25,301,289,145,0,42,"1,280",3,20,72,111,211,538,0,"1,342",0,862,,
OKLAHOMA,Total all ages,"106,731","4,820","14,352",161,179,719,"3,761","2,267","11,226",713,146,"8,226",607,"1,489",408,"2,843","1,270","2,207",15,458,"20,024",51,539,"9,599","1,394","12,799","2,096",58,"22,612",2,862,389,"3,789,847"
OREGON,Under 18,"8,955",349,"1,833",8,24,106,211,151,"1,486",141,55,"1,045",12,44,2,25,678,107,2,68,"1,796",0,0,97,777,0,592,0,"1,089",0,439,,
OREGON,Total all ages,"124,851","3,687","17,578",65,166,696,"2,760","1,376","14,118","1,883",201,"10,263",648,"1,868",49,587,"3,976","2,077",364,436,"15,682",0,333,"13,273","3,658",18,"6,594",22,"43,299",0,439,143,"3,745,046"
PENNSYLVANIA,Under 18,"43,800","3,049","5,821",19,238,"1,071","1,721",952,"4,355",426,88,"5,184",64,799,20,336,"1,779",848,3,495,"3,524",0,51,349,"2,426",191,"8,290",38,"3,810",0,"6,723",,
PENNSYLVANIA,Total all ages,"372,570","20,385","50,437",464,"1,171","4,891","13,859","6,123","41,549","2,409",356,"42,271","2,414","7,703",478,"2,392","7,196","5,056","1,755","2,211","63,306",53,"2,034","45,128","9,446","20,941","35,630",298,"46,713",0,"6,723","1,383","12,552,431"
RHODE ISLAND,Under 18,"2,218",109,373,1,16,38,54,87,251,20,15,406,3,16,3,37,188,105,0,20,111,0,27,5,68,0,422,0,314,0,11,,
RHODE ISLAND,Total all ages,"22,707",864,"2,458",10,77,150,627,533,"1,773",126,26,"3,638",74,425,102,287,932,379,71,76,"1,792",9,62,"1,788",394,0,"1,979",1,"7,365",0,11,41,"943,094"
SOUTH CAROLINA,Under 18,"12,279",616,"2,881",17,69,214,316,537,"2,184",143,17,"2,162",13,68,17,143,451,435,5,56,"2,090",0,8,93,297,69,"1,318",0,"1,525",0,32,,
SOUTH CAROLINA,Total all ages,"153,573","6,500","23,848",253,378,"1,133","4,736","3,149","19,592","1,006",101,"14,146","1,138","3,200",358,"1,952","2,552","2,247",381,295,"32,266",39,"1,139","15,446","4,239","6,113","8,330",484,"28,868",0,32,346,"3,920,047"
SOUTH DAKOTA,Under 18,"6,656",131,809,1,8,13,109,108,591,106,4,544,5,53,2,49,211,74,0,28,979,0,653,88,804,220,576,1,"1,247",11,171,,
SOUTH DAKOTA,Total all ages,"63,625","1,748","3,283",16,79,88,"1,565",445,"2,512",311,15,"4,931",102,731,37,225,624,334,33,92,"8,900",1,"2,361","8,164","4,999","6,939","3,596",565,"15,720",69,171,75,"729,800"
TENNESSEE,Under 18,"22,282","1,459","4,399",30,49,422,958,754,"3,020",573,52,"4,118",45,131,16,133,"1,017",408,0,133,"2,591",12,47,109,532,129,"1,793",0,"3,996",0,"1,214",,
TENNESSEE,Total all ages,"350,912","14,682","38,394",358,351,"1,839","12,134","5,143","29,649","3,422",180,"32,076","1,802","5,336",664,"1,496","4,571","3,081",955,621,"47,826",148,"4,289","19,495","3,836","15,073","6,749",5,"148,599",0,"1,214",449,"6,505,139"
TEXAS,Under 18,"57,417","3,723","12,398",63,355,"1,477","1,828","2,156","9,144",995,103,"10,027",107,222,109,192,"1,558",858,40,459,"9,997",17,190,419,"1,187",783,"1,284",30,"11,516",0,"2,301",,
TEXAS,Total all ages,"745,719","30,372","78,504",839,"2,247","6,519","20,767","10,570","62,387","5,093",454,"90,763","4,287","5,764",794,899,"7,178","12,954","4,482","2,804","136,796",355,"4,005","64,784","8,775","62,434","8,477",872,"218,119",0,"2,301",909,"25,980,682"
UTAH,Under 18,"11,259",304,"2,390",1,64,68,171,149,"2,086",125,30,"1,110",10,43,4,106,652,135,10,217,"1,696",0,28,143,708,66,421,18,"2,842",0,356,,
UTAH,Total all ages,"104,741","2,252","14,526",48,204,404,"1,596",882,"13,064",519,61,"7,870",746,957,32,"1,225","2,364",896,379,656,"17,556",4,"1,426","7,980","3,570","2,672","2,201",38,"37,023",12,356,114,"2,646,000"
VERMONT,Under 18,800,51,137,0,14,1,36,33,94,6,4,145,2,4,1,6,92,10,0,7,49,0,4,18,49,0,100,0,125,0,0,,
VERMONT,Total all ages,"13,969",664,"1,683",10,62,31,561,268,"1,370",29,16,"1,341",56,238,43,103,380,28,4,41,"1,137",0,174,"2,450",112,0,823,0,"4,692",0,0,72,"600,391"
VIRGINIA,Under 18,"16,417",709,"3,553",24,59,321,305,463,"2,862",175,53,"2,648",32,133,32,153,691,318,5,137,"2,217",1,23,70,574,75,501,0,"3,804",0,741,,
VIRGINIA,Total all ages,"258,878","7,068","26,582",337,430,"1,633","4,668","2,698","22,662","1,032",190,"30,360","1,700","4,845","1,371",994,"3,621","4,099",617,653,"42,060",25,"1,664","19,323","4,852","17,864","2,870",177,"87,392",0,741,373,"7,782,044"
WASHINGTON,Under 18,"11,818",890,"2,692",17,77,334,462,480,"1,986",180,46,"2,939",12,28,1,193,856,225,7,123,"1,224",0,9,167,683,10,190,0,"1,569",0,0,,
WASHINGTON,Total all ages,"173,344","8,472","27,055",158,515,"1,887","5,912","4,723","20,526","1,637",169,"25,114",862,"1,056",53,"3,438","5,178","1,793",650,587,"12,027",0,359,"25,392","2,018",78,"2,402",124,"56,680",6,0,222,"6,678,694"
WEST VIRGINIA,Under 18,"1,033",57,162,0,9,6,42,34,104,13,11,215,3,3,3,8,44,14,0,5,120,0,1,16,24,2,30,0,317,0,9,,
WEST VIRGINIA,Total all ages,"39,296","1,832","5,077",31,103,123,"1,575",751,"4,018",272,36,"4,320",258,486,116,410,634,342,109,88,"7,277",0,149,"4,282",890,822,751,27,"11,417",0,9,178,"1,150,294"
WISCONSIN,Under 18,"39,393","1,067","6,140",14,212,319,522,652,"4,875",555,58,"2,633",31,115,27,469,"1,836",517,13,695,"3,213",4,129,239,"2,271",0,"7,282",24,"10,921",0,"1,767",,
WISCONSIN,Total all ages,"252,142","8,023","29,429",203,900,"1,447","5,473","2,652","25,214","1,368",195,"17,314",920,"2,669",325,"1,474","6,206","3,449",451,"1,928","30,781",37,"2,493","23,541","12,228",0,"32,743",809,"75,555",0,"1,767",427,"5,700,831"
WYOMING,Under 18,"3,046",35,449,0,6,3,26,26,379,34,10,417,1,3,5,15,150,31,0,11,501,0,6,28,416,16,106,0,761,5,90,,
WYOMING,Total all ages,"27,914",612,"2,374",9,43,31,529,215,"1,990",130,39,"1,996",49,158,18,94,492,78,48,107,"4,612",0,344,"3,253","1,980","2,412",810,36,"8,345",6,90,53,"543,983"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,